cluster_annot	signature	mean_raw	mean_z	median_z	std_z	pct_z_ge_1	n_cells
Circulating NK	HALLMARK_GLYCOLYSIS	0.01798062320717798	-0.2890171544467695	-0.290829552275071	0.9327504795516873	0.08037383177570094	3745
Circulating NK	HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.1126039504529746	-0.4024178733215626	-0.38270618613480306	0.7496890138128967	0.027503337783711616	3745
Circulating NK	HALLMARK_FATTY_ACID_METABOLISM	0.035646810995894014	-0.2055034321869084	-0.1771513086196674	0.8792387579071925	0.08224299065420561	3745
Circulating NK	HALLMARK_XENOBIOTIC_METABOLISM	-0.01643334828686408	-0.27515348197246314	-0.3005055990958042	0.9297920863097721	0.08197596795727637	3745
Circulating NK	HALLMARK_BILE_ACID_METABOLISM	-0.0561249887425418	-0.19688706437612447	-0.24100142021927523	0.9775551436742264	0.11642189586114819	3745
Cytotoxic NK	HALLMARK_GLYCOLYSIS	0.027869953332985406	0.044056308722207574	0.029544899614512236	1.0061596703699716	0.16532852695395708	6103
Cytotoxic NK	HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.16184149889916954	0.1384288355308246	0.13060286131002344	0.8976881269172907	0.1799115189251188	6103
Cytotoxic NK	HALLMARK_FATTY_ACID_METABOLISM	0.04632919646602618	0.0600469429645831	0.07220144875557323	0.9704534685538548	0.16024905784040636	6103
Cytotoxic NK	HALLMARK_XENOBIOTIC_METABOLISM	-0.005722174011539467	0.12665684999149301	0.09360489018094892	1.025773865424757	0.19203670326069147	6103
Cytotoxic NK	HALLMARK_BILE_ACID_METABOLISM	-0.049269185846152225	0.030729334252906474	-0.027197019659668493	1.018143030626848	0.16582008848107488	6103
High-Ribosomal NK	HALLMARK_GLYCOLYSIS	0.042702290125292586	0.5436106485465181	0.5301395455553993	0.8968480556768619	0.3115246098439376	1666
High-Ribosomal NK	HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.23882344337298023	0.9840320920620766	1.0899190200805642	0.9171211550463544	0.5402160864345739	1666
High-Ribosomal NK	HALLMARK_FATTY_ACID_METABOLISM	0.07320736510891057	0.7282036750408976	0.7574532217814272	0.9145745284761271	0.3865546218487395	1666
High-Ribosomal NK	HALLMARK_XENOBIOTIC_METABOLISM	-0.004269142871673305	0.18116468542169326	0.16489441383009018	0.8845871139510739	0.1752701080432173	1666
High-Ribosomal NK	HALLMARK_BILE_ACID_METABOLISM	-0.05296231108518507	-0.09188443969869335	-0.11390146872686405	0.8714929865614721	0.10264105642256903	1666
Homeostatic NK	HALLMARK_GLYCOLYSIS	0.0166602354841773	-0.33348792304594493	-0.3631027660249433	1.1240547241032106	0.10965250965250965	1295
Homeostatic NK	HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.03903805068460599	-1.2104978047780515	-1.250775991354771	0.6058136272506425	0.0015444015444015444	1295
Homeostatic NK	HALLMARK_FATTY_ACID_METABOLISM	0.012927510122472776	-0.7702760559594878	-0.7863516076440228	0.9828995982898161	0.043243243243243246	1295
Homeostatic NK	HALLMARK_XENOBIOTIC_METABOLISM	-0.0099236985659476	-0.030955745282079842	-0.09354323208890929	1.1264907220599902	0.17297297297297298	1295
Homeostatic NK	HALLMARK_BILE_ACID_METABOLISM	-0.0410174718234542	0.30469074428007004	0.27619597173618315	1.1545446719962686	0.2640926640926641	1295
ILC1	HALLMARK_GLYCOLYSIS	0.028689319465404085	0.07165262837745615	0.05819430572080263	0.9357929730259182	0.15460873233495043	4741
ILC1	HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.1605766430703014	0.12453510739438746	0.09298810908493207	0.9570855363728721	0.18962244252267454	4741
ILC1	HALLMARK_FATTY_ACID_METABOLISM	0.045504298176005355	0.03954103152847914	0.05232165887643996	0.9659043879500434	0.16072558531955283	4741
ILC1	HALLMARK_XENOBIOTIC_METABOLISM	-0.009122509281360295	-0.0009005782078580292	-0.035640756278307505	0.9749467968814054	0.15165576882514237	4741
ILC1	HALLMARK_BILE_ACID_METABOLISM	-0.048236058751960756	0.06502971774697955	0.002983672535378517	0.9576522701616883	0.16515503058426492	4741
